CPU_analysis	CPU_facto	CPU_fillA	CPU_post	CPU_solve	mem_facto	mpi	nbp	npX	npY	npZ	omp	ordering	
0.006588	0.007021	0.000098	0.000002	0.002983	1	1	1000	10	10	10	1	pord	
0.062881	0.066883	0.000732	0.000001	0.021454	15	1	8000	20	20	20	1	pord	
0.255090	0.572612	0.002821	0.000001	0.073064	83	1	27000	30	30	30	1	pord	
0.658549	3.120926	0.005204	0.000002	0.180974	302	1	64000	40	40	40	1	pord	
1.297217	9.863219	0.011416	0.000001	0.380196	798	1	125000	50	50	50	1	pord	
2.430887	27.951297	0.021343	0.000001	0.654446	1700	1	216000	60	60	60	1	pord	
4.019035	75.612462	0.038176	0.000002	1.002504	3405	1	343000	70	70	70	1	pord	
5.551531	170.251129	0.041612	0.000002	1.525332	6266	1	512000	80	80	80	1	pord	
8.213613	317.004925	0.069628	0.000002	2.167349	9780	1	729000	90	90	90	1	pord	
0.006646	0.005386	0.000093	0.000001	0.002166	2	2	1000	10	10	10	1	pord	
0.062857	0.042046	0.000611	0.000002	0.014983	22	2	8000	20	20	20	1	pord	
0.239917	0.303991	0.002327	0.000002	0.052290	98	2	27000	30	30	30	1	pord	
0.615321	2.164272	0.005392	0.000002	0.110758	382	2	64000	40	40	40	1	pord	
1.310299	6.858430	0.009626	0.000001	0.222724	955	2	125000	50	50	50	1	pord	
2.226539	19.403208	0.020388	0.000002	0.419904	2052	2	216000	60	60	60	1	pord	
3.790925	63.528228	0.035662	0.000002	0.711714	4267	2	343000	70	70	70	1	pord	
5.742523	168.930780	0.048730	0.000002	0.979489	7191	2	512000	80	80	80	1	pord	
8.347743	304.202527	0.070511	0.000001	1.446001	11541	2	729000	90	90	90	1	pord	
0.006792	0.019112	0.000085	0.000001	0.001856	3	3	1000	10	10	10	1	pord	
0.063567	0.042913	0.000627	0.000001	0.013975	31	3	8000	20	20	20	1	pord	
0.243157	0.250051	0.002443	0.000002	0.031861	119	3	27000	30	30	30	1	pord	
0.623708	1.755519	0.007206	0.000002	0.101568	361	3	64000	40	40	40	1	pord	
1.273977	5.216769	0.010441	0.000002	0.168085	968	3	125000	50	50	50	1	pord	
2.238017	13.300439	0.019139	0.000001	0.343882	2033	3	216000	60	60	60	1	pord	
3.775301	40.189868	0.036862	0.000001	0.539273	4066	3	343000	70	70	70	1	pord	
5.767096	104.471554	0.042815	0.000001	0.807230	7195	3	512000	80	80	80	1	pord	
8.313960	181.453701	0.070397	0.000002	1.391634	11838	3	729000	90	90	90	1	pord	
0.006850	0.007466	0.000093	0.000002	0.001419	4	4	1000	10	10	10	1	pord	
0.075686	0.038024	0.000862	0.000002	0.010276	38	4	8000	20	20	20	1	pord	
