26/05; 28/05;PAYPAL MICROSOFT 68647692334; 129,00-
30/05; 31/05;Tasty Montlegia Liege; 8,00-
31/05; 01/06;AS OUHES LIEGE; 85,00-
06/06; 07/06;AIRBNB HMYNSEFFNA 655-131-9056; 947,40+
08/06; 09/06;OPENAI CHATGPT SUBSCR OPENAI.COM CA 57,53-USD; 21,63-
11/06; 12/06;Tasty Montlegia Liege;7,80-
12/06; 13/06;PAY RIVERTHREE ESNEUX;247,00-
13/06; 15/06;Tasty Montlegia Liege;6,50-
14/06; 15/06;6103 DATS 57 Herstal HERSTAL;28,04-
14/06; 15/06;Thomas-Delobel Sprl Liege; 48,60-
14/06; 15/06;Ad Delhaize Liege Liege; 16,24-
20/06; 21/06;Ad Delhaize Liege Liege; 80,04-
21/06; 22/06;Spotify P60DE9112A Stockholm;16,99-
21/06; 22/06;Multipharma 018 Liege; 122,10-
21/06; 22/06;DISCOUNT HERSTAL HERSTAL;11,18-
21/06; 22/06;LIDL 4476 HERSTAL Herstal; 13,15-
21/06; 22/06;Aldi 73 Herstal Herstal; 5,68-
22/06; 23/06;VDL Andrimont; 12,00-
22/06; 23/06;BENOIT SEGONDS SHOP LIEGE;12,10-
